년도,단어,빈도수
2017,치료,397
2017,용도,206
2017,함유,190
2017,에어로졸,188
2017,추출,151
2017,발생,142
2017,화장,140
2017,개선,127
2017,예방,126
2017,성분,118
2018,치료,281
2018,에어로졸,219
2018,추출,186
2018,용도,182
2018,함유,149
2018,예방,134
2018,성분,132
2018,개선,118
2018,유효,117
2018,화합물,113
2019,치료,371
2019,용도,192
2019,추출,190
2019,함유,167
2019,예방,159
2019,개선,144
2019,성분,133
2019,마스크,120
2019,화합물,120
2019,피부,118
2020,마스크,368
2020,치료,303
2020,추출,224
2020,예방,176
2020,성분,169
2020,유효,155
2020,함유,141
2020,개선,132
2020,용도,119
2020,질환,115
2021,치료,396
2021,예방,269
2021,추출,263
2021,성분,205
2021,개선,198
2021,유효,191
2021,용도,176
2021,피부,172
2021,함유,171
2021,마스크,159
