년도,단어,빈도수
2017,차량,589
2017,필름,244
2017,촉매,125
2017,시트,121
2017,금속,121
2017,필터,110
2017,복합,103
2017,자동차,99
2017,수지,98
2017,로봇,98
2018,차량,528
2018,필름,238
2018,복합,135
2018,시트,133
2018,가공,124
2018,주행,119
2018,금속,116
2018,자동,113
2018,재료,103
2018,적층체,98
2019,차량,532
2019,필름,193
2019,로봇,169
2019,주행,146
2019,시트,137
2019,금속,127
2019,적층체,126
2019,자동,110
2019,복합,109
2019,필터,106
2020,차량,525
2020,로봇,189
2020,자동,152
2020,포장,130
2020,필터,117
2020,필름,117
2020,분리,115
2020,복합,113
2020,충전,111
2020,주행,107
2021,차량,320
2021,로봇,179
2021,자동,170
2021,드론,165
2021,포장,153
2021,가공,145
2021,필름,134
2021,정화,131
2021,제거,129
2021,시트,117
