년도,단어,빈도수
2017,섬유,645
2017,세탁기,296
2017,의류,256
2017,직물,219
2017,원단,209
2017,복합,202
2017,처리장치,183
2017,부직포,145
2017,시트,129
2017,세탁물,119
2018,섬유,586
2018,의류,347
2018,원단,272
2018,세탁기,252
2018,직물,212
2018,처리장치,184
2018,복합,174
2018,부직포,167
2018,세탁물,137
2018,나노,131
2019,섬유,615
2019,의류,421
2019,세탁기,301
2019,원단,226
2019,처리장치,224
2019,부직포,198
2019,복합,193
2019,직물,162
2019,나노,133
2019,코팅,121
2020,섬유,442
2020,의류,336
2020,원단,227
2020,처리장치,217
2020,마스크,192
2020,부직포,176
2020,복합,130
2020,항균,128
2020,직물,121
2020,시트,100
2021,의류,146
2021,원단,124
2021,섬유,114
2021,처리장치,104
2021,복합,54
2021,항균,52
2021,부직포,46
2021,세탁기,42
2021,직물,42
2021,마스크,38
