년도,단어,빈도수
2017,시공,652
2017,보강,372
2017,콘크리트,358
2017,조물,302
2017,도어,276
2017,공법,267
2017,패널,184
2017,교량,162
2017,보수,160
2017,설치,144
2018,시공,658
2018,보강,396
2018,콘크리트,328
2018,도어,310
2018,조물,309
2018,공법,267
2018,패널,232
2018,벽체,155
2018,내진,155
2018,보수,151
2019,시공,582
2019,도어,343
2019,보강,331
2019,콘크리트,267
2019,조물,266
2019,공법,222
2019,패널,183
2019,보수,149
2019,자동,145
2019,개폐,130
2020,시공,745
2020,콘크리트,366
2020,보강,335
2020,공법,278
2020,도어,263
2020,조물,253
2020,패널,208
2020,보수,157
2020,설치,151
2020,방수,147
2021,시공,495
2021,보강,268
2021,조물,267
2021,공법,265
2021,콘크리트,260
2021,보수,195
2021,건축,145
2021,도어,132
2021,패널,132
2021,방수,127
