년도,단어,빈도수
2017,가스,400
2017,차량,336
2017,밸브,300
2017,공기,248
2017,조명,206
2017,펌프,202
2017,공기조화기,196
2017,선박,195
2017,연료,185
2017,압축기,184
2018,가스,381
2018,밸브,306
2018,차량,283
2018,엔진,240
2018,공기,232
2018,펌프,221
2018,연료,190
2018,선박,189
2018,냉장고,181
2018,조명,179
2019,가스,392
2019,밸브,312
2019,공기,275
2019,차량,243
2019,펌프,218
2019,선박,210
2019,연료,200
2019,냉장고,195
2019,조명,163
2019,압축기,160
2020,가스,374
2020,공기,335
2020,선박,311
2020,밸브,268
2020,차량,251
2020,펌프,237
2020,압축기,184
2020,연료,180
2020,냉장고,166
2020,공급,166
2021,밸브,197
2021,가스,191
2021,공기,188
2021,펌프,161
2021,조명,128
2021,발전,107
2021,정화,101
2021,차량,101
2021,공급,100
2021,냉각,96
