년도,단어,빈도수
2017,소자,576
2017,발광,504
2017,유기,492
2017,반도체,478
2017,전자,360
2017,통신,299
2017,전지,262
2017,무선,259
2017,디바이스,257
2017,화합물,228
2018,통신,345
2018,디바이스,341
2018,반도체,340
2018,소자,340
2018,전자,337
2018,유기,258
2018,네트워크,252
2018,무선,250
2018,발광,240
2018,전지,232
2019,소자,373
2019,디바이스,336
2019,반도체,320
2019,통신,318
2019,전자,316
2019,유기,286
2019,발광,263
2019,네트워크,262
2019,리튬,197
2019,전지,195
2020,소자,511
2020,반도체,467
2020,유기,405
2020,발광,391
2020,전자,338
2020,디바이스,316
2020,통신,249
2020,화합물,233
2020,전지,204
2020,리튬,203
2021,발광,497
2021,반도체,467
2021,소자,449
2021,유기,443
2021,디바이스,341
2021,전자,244
2021,통신,235
2021,전지,194
2021,화합물,186
2021,무선,174
