일련번호,등록상태,발명의 명칭,IPC 번호,등록번호,등록일자,출원번호,출원일자,공개번호,공개일자,공고번호,공고일자,초록,큰 이미지 경로,이미지 경로,출원인
1,공개,코로나 방전 검출 장치,G01R 31/12|G06K 9/62|G06T 5/00|G06T 7/73|G06T 7/30,,,1020210166922,20211129,1020210153006,20211216,,,"본 발명은 코로나 방전 검출 장치가 개시된다. 본 발명의 코로나 방전 검출장치는, 검출장치를 작동시키는 작동 스위치; 전력설비를 가시광선 및 자외선을 통해 촬영하는 영상 측정부; 영상 측정부의 측정환경을 측정하는 환경 측정부; 작동 스위치의 작동에 따라 영상 측정부를 통해 촬영된 촬영영상과 환경 측정부를 통해 측정된 환경 측정값을 저장하고, 영상분석을 통해 촬영영상에 대해 프레임별로 가시광선 영상으로부터 전력설비를 식별하며, 프레임별로 자외선 영상을 누적하여 자외선 누적 이미지를 생성한 후 가시광선 영상과 합성하고, 환경 측정값을 매칭한 통합 데이터를 저장한 후 코로나 방전 상태를 분석하여 출력하는 제어부; 및 영상 측정부와 환경 측정부로부터 측정된 촬영영상 및 환경 측정값을 저장하고, 제어부에서 생성한 합성영상 및 통합 데이터를 저장하는 저장부;를 포함하는 것을 특징으로 한다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c935e799443367d79f349149dc16a1884ba9f4af8ce7e70b1d7093203c4d59b169dec241b0d6f5241599f0b1a1e4180fbbfc1f2d53679e1ca37,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf1fc2056333f2c76f3fcf60d8dc70ae7948ea3bb818bf8bb5be3b46fbf9fc78dcad51c3a798207742c1dcfbe1ce00571098d12525e125e865,한국전력공사
2,공개,신규한 가이드 RNA 및 이를 이용한 코로나바이러스감염증 2019를 진단하는 방법,C12Q 1/70,,,1020210141373,20211021,1020210132628,20211104,,,"COVID-19 진단을 위한 신규한 가이드 RNA, 이를 포함하는 COVID-19 진단용 조성물, 키트, 및 이를 이용한 COVID-19 진단 방법을 제공한다. 이에 따르면, COVID-19를 높은 정확도 및 특이도로 빠르고 간편하게 진단하는데 이용할 수 있다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c9304228ef358c5d87c9007c0b1e5fc52cd18cdb9917a2187e39d3565a3acf76b92e8d5c880aab945bc675109949089319b3bd1d2a8bbbb7bb6,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cfc9099bf323dc5fad6cc0038fdb8262bc4bb86d0836627a8ec2ef1685e05428b7ebfe7b99be7ab9a60bff90e91568d917a144b3fec25aed6d,연세대학교 산학협력단
3,공개,태반 유래의 세포외 소포를 포함하는 코로나 바이러스 억제용 조성물,A61K 35/28|A61K 31/7105|A61P 31/12,,,1020210139340,20211019,1020210157370,20211228,,,"본 발명은 태반으로부터 유래한 각종 물질의 종류 및 효과에 관한 것으로서, 태반, 탯줄, 제대혈, 태반 유래 세포외 소포(Extracellular Vesicle, EV) 및 태반, 탯줄, 제대혈, 태반 유래 중간엽 줄기세포(placental mesenchymal stem cell, pMSC) 및 이들로부터 유래한 세포외 소포(EV)와 상기 EV에 포함된 miRNA 및 cargo를 비롯한 각종 생체분자의 종류 및 효과에 관한 것으로서, 상기 EV에 포함된 miRNA가 코로나 바이러스의 RNA 게놈을 효율적으로 분해하여 직접적인 항바이러스 효과를 나타낼 뿐 아니라, EV 자체적으로 보유한 각종 생체분자의 항염증 효과로 인한 간접적인 다양한 바이러스 감염증 예방 및 치료 효과를 확인함으로써 이루어진 것이다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93193cab6acd82c43f4393b94563294dbe58b90ab81ccdbc204a781fc2fc63ce7397077d8476365e49bc64b5c3b787d1898fbf92280bb52a1c,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf7508a16c33a7f326fbd66dd083a2119235f620e391ab3facf0cd943dd58be33d651d3cc97797c2ff23eff18742b7faa22b93b09f23a2c3f3,주식회사 티에스셀바이오
4,공개,코로나 방지 및 운전자보호 가림막,B60R 21/12|B60R 21/02|B60R 11/00,,,1020210117803,20210903,1020210116375,20210927,,,"본 발명은 코로나 방지 및 운전자보호 가림막에 관한 것으로서, 운전자를 후방 탑승자로부터 보호하고 코로나로 인한 위험을 방지할 수 있도록 함을 목적으로 한 것이다.  즉, 본 발명은 운전자보호 가림막에 있어서, 운전석과 후방좌석 사이에 가림막을 형성할 수 있게 구비되는 운전석가림막과 보조석과 후방좌석 사이에 가림막을 형성할 수 있게 구비되는 조수석가림막으로 구성하고, 운전석 및 조수석가림막은 가림막본체에 헤드레스트와 결속되는 헤드레스트결속부를 형성하고, 가림막본체의 실내측에 운전석가림막과 조수석가림막이 상호 접하는 가림막접속부를 형성하며, 가림막본체의 상단측에 차량 내부의 천장부와 접할 수 있게 구비되는 천장밀착부를 형성하며, 상기 가림막본체의 가림막접속부 측 하부에 변속레버 측으로 침입을 방지할 수 있게 구비되는 변속레버가드를 돌출형성하고, 가리막본체의 창가 측 하단에 도어 사이의 틈을 통한 침입을 차단할 수 있도록 전방으로 향하여 경사지게 구비되는 도어가드를 절곡형성한 것을 특징으로 하는 것이다.  따라서, 본 발명은 운전자를 후방 탑승자로부터 보호하고 코로나로 인한 위험을 방지할 수 있는 효과를 갖는 것이다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c933f19f0112cc52d5e782232e637f0deadfbea109e501ea061b1cc4c02c7be8b64b7c66e29a448a6ed4c9ba02d9221832e836bdbfbb508185f,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf746937f87df4e70cd5951f37f367b7f892307ddd3fa2f9db62d15a6f0d5b755dc113f95129c56d132d6fdf73a689a015fd90c4e743095e3f,주식회사 이일테크|신영순|이주범
5,공개,코로나 방지 및 운전자보호 가림막,B60R 21/12|B60R 21/02|B60R 11/00,,,1020210117796,20210903,1020210116373,20210927,,,"본 발명은 코로나 방지 및 운전자보호 가림막에 관한 것으로서, 운전자를 후방 탑승자로부터 보호하고 코로나로 인한 위험을 방지할 수 있도록 함을 목적으로 한 것이다.  즉, 본 발명은 운전자보호 가림막에 있어서, 운전석과 후방좌석 사이에 가림막을 형성할 수 있게 구비되는 운전석가림막과 보조석과 후방좌석 사이에 가림막을 형성할 수 있게 구비되는 조수석가림막으로 구성하고, 운전석 및 조수석가림막은 가림막본체에 헤드레스트와 결속되는 헤드레스트결속부를 형성하고, 가림막본체의 실내측에 운전석가림막과 조수석가림막이 상호 접하는 가림막접속부를 형성하며, 가림막본체의 상단측에 차량 내부의 천장부와 접할 수 있게 구비되는 천장밀착부를 형성하며, 상기 가림막본체의 가림막접속부 측 하부에 변속레버 측으로 침입을 방지할 수 있게 구비되는 변속레버가드를 돌출형성한 것을 특징으로 하는 것이다.  따라서, 본 발명은 운전자를 후방 탑승자로부터 보호하고 코로나로 인한 위험을 방지할 수 있는 효과를 갖는 것이다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c933f19f0112cc52d5e782232e637f0deadfbea109e501ea06113d56df3769b0c622e039b419db30c1210944692bb07308a2f4be22d529f2318,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf746937f87df4e70cd5951f37f367b7f892307ddd3fa2f9dbb34b85c0917cdc3fa677e5e8fc5e9071fab065b5225e3dd9210ae93c293cdf12,주식회사 이일테크|신영순|이주범
6,공개,코로나 방지 및 운전자보호 가림막,B60R 21/12|B60R 21/02|B60R 11/00,,,1020210117797,20210903,1020210116374,20210927,,,"본 발명은 코로나 방지 및 운전자보호 가림막에 관한 것으로서, 운전자를 후방 탑승자로부터 보호하고 코로나로 인한 위험을 방지할 수 있도록 함을 목적으로 한 것이다.  즉, 본 발명은 운전자보호 가림막에 있어서, 운전석과 후방좌석 사이에 가림막을 형성할 수 있게 구비되는 운전석가림막과 보조석과 후방좌석 사이에 가림막을 형성할 수 있게 구비되는 조수석가림막으로 구성하고, 운전석 및 조수석가림막은 가림막본체에 헤드레스트와 결속되는 헤드레스트결속부를 형성하고, 가림막본체의 실내측에 운전석가림막과 조수석가림막이 상호 접하는 가림막접속부를 형성하며, 가림막본체의 상단측에 차량 내부의 천장부와 접할 수 있게 구비되는 천장밀착부를 형성하며, 상기 가림막본체의 가림막접속부 측 하부에 변속레버 측으로 침입을 방지할 수 있게 구비되는 변속레버가드를 돌출형성하고, 가리막본체의 창가 측 하단에 도어 사이의 틈을 통한 침입을 차단할 수 있도록 전방으로 향하여 경사지게 구비되는 도어가드를 절곡형성한 것을 특징으로 하는 것이다.  따라서, 본 발명은 운전자를 후방 탑승자로부터 보호하고 코로나로 인한 위험을 방지할 수 있는 효과를 갖는 것이다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c933f19f0112cc52d5e782232e637f0deadfbea109e501ea06113d56df3769b0c620ce6e9bfb9a428053edf48a7c0f7c462760f7d2c5e7e3169,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf746937f87df4e70cd5951f37f367b7f892307ddd3fa2f9dbb34b85c0917cdc3f6a4c709b453558fabd7ac6671aaebcedb730baddee10aeb6,주식회사 이일테크|신영순|이주범
7,공개,코로나 방지 및 운전자보호 가림막,B60R 21/12|B60R 21/02|B60R 11/00,,,1020210117518,20210903,1020210116370,20210927,,,"본 발명은 코로나 방지 및 운전자보호 가림막에 관한 것으로서, 운전자를 후방 탑승자로부터 보호하고 코로나로 인한 위험을 방지할 수 있도록 함을 목적으로 한 것이다.  즉, 본 발명은 운전자보호 가림막에 있어서, 운전석과 후방좌석 사이에 가림막을 형성할 수 있게 구비되는 운전석가림막과 보조석과 후방좌석 사이에 가림막을 형성할 수 있게 구비되는 조수석가림막으로 구성하고, 운전석 및 조수석가림막은 가림막본체에 헤드레스트와 결속되는 헤드레스트결속부를 형성하고, 가림막본체의 실내측에 운전석가림막과 조수석가림막이 상호 접하는 가림막접속부를 형성하며, 가림막본체의 상단측에 차량 내부의 천장부와 접할 수 있게 구비되는 천장밀착부를 형성하며, 상기 가림막본체의 가림막접속부 측 하부에 변속레버 측으로 침입을 방지할 수 있게 구비되는 변속레버가드를 돌출형성하고, 가리막본체의 창가 측 하단에 도어 사이의 틈을 통한 침입을 차단할 수 있도록 전방으로 향하여 경사지게 구비되는 도어가드를 절곡형성한 것을 특징으로 하는 것이다.  따라서, 본 발명은 운전자를 후방 탑승자로부터 보호하고 코로나로 인한 위험을 방지할 수 있는 효과를 갖는 것이다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c933f19f0112cc52d5e782232e637f0deadfbea109e501ea061b0bbd64344d374430c4167177dd2682f29832e5d84fc003722cd64f084ba4018,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf746937f87df4e70cd5951f37f367b7f892307ddd3fa2f9db13c79ac43a52e07c4af7638cff8681b49de1c7e8d9429b12769169d17f3df09e,주식회사 이일테크|신영순|이주범
8,공개,제2형 중증급성호흡기증후군 코로나바이러스에 중화 활성을 갖는 펩타이드,C07K 7/06|C07K 7/08|A61K 38/00|A61P 31/14|G01N 33/569,,,1020210109991,20210820,1020220009926,20220125,,,"본 발명은 제2형 중증급성호흡기증후군 코로나바이러스(Severe acute respiratory syndrome coronavirus 2, SARS-CoV-2)의 단백질 또는 그 일부를 특이적으로 인지하는 펩타이드에 관한 것으로서, 본 발명의 펩타이드는 SARS-CoV-2 표면의 스파이크 단백질에 대한 우수한 결합 능력을 가지며 SARS-CoV-2 감염에 대한 예방, 치료 또는 진단에 매우 유용하다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c938a2134dd335862c7ad17f31452c6059d894f40b30af14ce1754d0ae34d4a72441f1271171484fadd7360b6dc2527d1ff66ce56a018814315,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf9b14948fb1374d4895697a9c06d4f16609aa05ffb2ab6996f381661fdce41b6a9385c8e38740c1a5db001d5482d60d525e484a7575ee4748,(주)케어젠
9,공개,제2형 중증급성호흡기증후군 코로나바이러스에 중화 활성을 갖는 펩타이드,C07K 7/06|C07K 7/08|A61K 38/00|A61P 31/14|G01N 33/569,,,1020210109990,20210820,1020220009925,20220125,,,"본 발명은 제2형 중증급성호흡기증후군 코로나바이러스(Severe acute respiratory syndrome coronavirus 2, SARS-CoV-2)의 단백질 또는 그 일부를 특이적으로 인지하는 펩타이드에 관한 것으로서, 본 발명의 펩타이드는 SARS-CoV-2 표면의 스파이크 단백질에 대한 우수한 결합 능력을 가지며 SARS-CoV-2 감염에 대한 예방, 치료 또는 진단에 매우 유용하다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c938a2134dd335862c7ad17f31452c6059d894f40b30af14ce1754d0ae34d4a7244b8e9c58bf3c0b924997274c4a2ebb6509a1c0046ecad3a13,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf9b14948fb1374d4895697a9c06d4f16609aa05ffb2ab6996f381661fdce41b6a123a284f2849d1b88a7ed9b1dbf38596404cb4ac5dfa6299,(주)케어젠
10,공개,제2형 중증급성호흡기증후군 코로나바이러스에 중화 활성을 갖는 펩타이드,C07K 7/06|C07K 7/08|A61K 38/00|A61P 31/14|G01N 33/569,,,1020210109989,20210820,1020220009924,20220125,,,"본 발명은 제2형 중증급성호흡기증후군 코로나바이러스(Severe acute respiratory syndrome coronavirus 2, SARS-CoV-2)의 단백질 또는 그 일부를 특이적으로 인지하는 펩타이드에 관한 것으로서, 본 발명의 펩타이드는 SARS-CoV-2 표면의 스파이크 단백질에 대한 우수한 결합 능력을 가지며 SARS-CoV-2 감염에 대한 예방, 치료 또는 진단에 매우 유용하다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c938a2134dd335862c7ad17f31452c6059d894f40b30af14ce1754d0ae34d4a72443230c4912cbb2ea4ca33813a7244e81e3f38cd071900c7f7,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf9b14948fb1374d4895697a9c06d4f16609aa05ffb2ab6996f381661fdce41b6a4301c44e2277a93be374d0e4358f8eb5b8d99e9926d85e5b,(주)케어젠
