년도,단어,빈도수
2017,전자,463
2017,디스플레이,318
2017,센서,221
2017,광학,212
2017,디바이스,185
2017,터치,162
2017,데이터,157
2017,영상,153
2017,액정,138
2017,카메라,133
2018,전자,361
2018,디스플레이,254
2018,디바이스,216
2018,이미지,214
2018,데이터,207
2018,차량,185
2018,센서,183
2018,영상,174
2018,광학,169
2018,분석,145
2019,전자,425
2019,데이터,244
2019,디바이스,237
2019,이미지,225
2019,차량,213
2019,디스플레이,191
2019,센서,185
2019,지능,172
2019,분석,166
2019,광학,162
2020,전자,362
2020,데이터,236
2020,분석,180
2020,센서,177
2020,컴퓨터,168
2020,디스플레이,167
2020,이미지,155
2020,학습,150
2020,메모리,143
2020,프로그램,139
2021,전자,428
2021,컴퓨터,340
2021,프로그램,320
2021,데이터,259
2021,지능,192
2021,이미지,185
2021,분석,173
2021,영상,164
2021,인공,160
2021,센서,156
