년도,단어,빈도수
2017,차량,156
2017,전자,116
2017,디바이스,91
2017,통신,82
2017,반도체,81
2017,유기,78
2017,소자,77
2017,발광,69
2017,디스플레이,68
2017,치료,66
2018,차량,114
2018,디바이스,85
2018,전자,83
2018,반도체,68
2018,자동,66
2018,배터리,65
2018,통신,65
2018,필름,62
2018,측정,60
2018,플라즈마,56
2019,차량,110
2019,전자,88
2019,자동,85
2019,치료,66
2019,필름,65
2019,소자,63
2019,안전,61
2019,반도체,60
2019,디바이스,59
2019,배터리,56
2020,마스크,189
2020,차량,99
2020,자동,76
2020,안전,60
2020,보호,60
2020,분리,60
2020,포장,59
2020,필터,59
2020,반도체,53
2020,휴대,51
2021,반도체,108
2021,전자,102
2021,발광,99
2021,소자,98
2021,차량,93
2021,디바이스,80
2021,자동,79
2021,영상,78
2021,치료,76
2021,유기,75
